,label,text,label_num 
605,ham,"Subject: enron methanol ; meter # : 988291 
this is a follow up to the note i gave you on monday , 4 / 3 / 00 { preliminary 
flow data provided by daren } . 
please override pop ' s daily volume { presently zero } to reflect daily 
activity you can obtain from gas control . 
this change is needed asap for economics purposes .",0 
2349,ham,"Subject: hpl nom for january 9 , 2001 
( see attached file : hplnol 09 . xls ) 
- hplnol 09 . xls",0 
3624,ham,"Subject: neon retreat 
ho ho ho , we ' re around to that most wonderful time of the year - - - neon leaders retreat time ! 
i know that this time of year is extremely hectic , and that it ' s tough to think about anything past the holidays , but life does go on past the week of december 25 through january 1 , and that ' s what i ' d like you to think about for a minute . 
on the calender that i handed out at the beginning of the fall semester , the retreat was scheduled for the weekend of january 5 - 6 . but because of a youth ministers conference that brad and dustin are connected with that week , we ' re going to change the date to the following weekend , january 12 - 13 . now comes the part you need to think about . 
i think we all agree that it ' s important for us to get together and have some time to recharge our batteries before we get to far into the spring semester , but it can be a lot of trouble and difficult for us to get away without kids , etc . so , brad came up with a potential alternative for how we can get together on that weekend , and then you can let me know which you prefer . 
the first option would be to have a retreat similar to what we ' ve done the past several years . this year we could go to the heartland country inn ( www . . com ) outside of brenham . it ' s a nice place , where we ' d have a 13 - bedroom and a 5 - bedroom house side by side . it ' s in the country , real relaxing , but also close to brenham and only about one hour and 15 minutes from here . we can golf , shop in the antique and craft stores in brenham , eat dinner together at the ranch , and spend time with each other . we ' d meet on saturday , and then return on sunday morning , just like what we ' ve done in the past . 
the second option would be to stay here in houston , have dinner together at a nice restaurant , and then have dessert and a time for visiting and recharging at one of our homes on that saturday evening . this might be easier , but the trade off would be that we wouldn ' t have as much time together . i ' ll let you decide . 
email me back with what would be your preference , and of course if you ' re available on that weekend . the democratic process will prevail - - majority vote will rule ! let me hear from you as soon as possible , preferably by the end of the weekend . and if the vote doesn ' t go your way , no complaining allowed ( like i tend to do ! ) 
have a great weekend , great golf , great fishing , great shopping , or whatever makes you happy ! 
bobby",0 
4685,spam,"Subject: photoshop , windows , office . cheap . main trending 
abasements darer prudently fortuitous undergone 
lighthearted charm orinoco taster 
railroad affluent pornographic cuvier 
irvin parkhouse blameworthy chlorophyll 
robed diagrammatic fogarty clears bayda 
inconveniencing managing represented smartness hashish 
academies shareholders unload badness 
danielson pure caffein 
spaniard chargeable levin 
",1 
2030,ham,"Subject: re : indian springs 
this deal is to book the teco pvr revenue . it is my understanding that teco 
just sends us a check , i haven ' t received an answer as to whether there is a 
predermined price associated with this deal or if teco just lets us know what 
we are giving . i can continue to chase this deal down if you need .",0 
2949,ham,"Subject: ehronline web address change 
this message is intended for ehronline users only . 
due to a recent change to ehronline , the url ( aka "" web address "" ) for accessing ehronline needs to be changed on your computer . the change involves adding the letter "" s "" to the "" http "" reference in the url . the url for accessing ehronline should be : https : / / ehronline . enron . com . 
this change should be made by those who have added the url as a favorite on the browser .",0 
2793,ham,"Subject: spring savings certificate - take 30 % off 
save 30 % when you use our customer appreciation spring savings 
certificate at foot locker , lady foot locker , kids foot locker and at 
our online stores ! 
welcome to our customer appreciation spring savings certificate ! 
use the special certificate below and receive 30 % off your purchases either in our stores or online . hurry ! this 4 - day sale begins thursday , march 22 and ends sunday , march 25 . 
share the savings today and e - mail this offer to your friends . many items already are reduced and the 30 % discount is taken off the lowest sale price . 
click below to print your customer appreciation spring savings certificate . you must present this coupon at any foot locker , lady foot locker or kids foot locker store in the u . s . foot locker canada is not participating in this program . 
ready , set , save ! 
our spring savings discount will automatically appear when you use the links below or type camlem 21 into the promotion code box during checkout . 
footlocker . com certificate code : camlem 21 
ladyfootlocker . com certificate code : camlem 21 
kidsfootlocker . com certificate code : camlem 21 
remember , returns are hassle - free . simply bring your items to any of our stores nationwide or through the mail . 
don ' t be left out - register today to learn about our new products , promotions , events and other specials . simply click below . 
terms and conditions . some exclusions apply , please see manager for complete details . certificate must be presented at the time of purchase and cannot be used in conjunction with any other discount offer or associate benefit . not redeemable for cash . applicable taxes must be paid by bearer . cannot be applied to prior purchases or to gift card purchases . void where prohibited , licensed or regulated . catalog exclusions apply . valid thursday , 3 / 22 / 01 through sunday , 3 / 25 / 01 . foot locker canada will not participate in this program . 
if you do not wish to receive future emails please click below to 
unsubscribe : 
",0 
4185,spam,"Subject: looking for medication ? we ` re the best source . 
it is difficult to make our material condition better by the best law , but it is easy enough to ruin it by bad laws . 
excuse me . . . : ) you just found the 
best and simpliest site for 
medication on the net . no perscription , easy 
delivery . 
private , secure , and easy . 
better see rightly on a pound a week than squint on a million . 
we ` ve got 
anything that you will ever want . 
erection treatment pills , anti - depressant pills , weight loss , and 
more ! http : / / splicings . bombahakcx . com / 3 / 
knowledge and human power are synonymous . 
only high - quality stuff for low rates ! 
100 % moneyback guarantee ! 
there is no god , nature sufficeth unto herself in no wise hath she need of an author .",1 
2641,ham,"Subject: noms / actual flow for 2 / 26 
we agree 
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on 
02 / 27 / 2001 
10 : 33 am - - - - - - - - - - - - - - - - - - - - - - - - - - - 
"" eileen ponton "" on 02 / 27 / 2001 09 : 46 : 26 am 
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa 
jones / texas utilities @ tu , hpl . scheduling @ enron . com , 
liz . bellamy @ enron . com 
cc : 
subject : noms / actual flow for 2 / 26 
date nom flow - mcf flow - mmbtu 
2 / 26 / 01 0 456 469 
btu = 1 . 027",0 
1870,ham,"Subject: nominations for oct . 21 - 23 , 2000 
( see attached file : hplnl 021 . xls ) 
- hplnl 021 . xls",0 
